time,sensor1,sensor2,sensor3,sensor4,sensor5
0.0,0.5157803602121966,0.6107628776833347,0.7240689427726117,0.774982846032325,0.7046048765920995
1.0,0.4762014295333801,0.6105334798084374,0.7156191705593837,0.7346878322541803,0.7024709454367046
2.0,0.5621447355996188,0.5703815695533153,0.7216758603653414,0.6838071724162057,0.766320646104839
3.0,0.42753173488787377,0.545835543630825,0.6643503404063932,0.7347723605851678,0.7909479222408142
4.0,0.4584567921848111,0.5526082571681225,0.6613681780747234,0.7366551178523568,0.8576248410243633
5.0,0.47277101938748667,0.5317587024269631,0.601491007151232,0.7222379138000959,0.8683366166498517
6.0,0.48767730538767246,0.615714908411203,0.6495664645448533,0.8155933669859062,0.7755996700511717
7.0,0.4925545270995847,0.5806604475107294,0.6491201778703666,0.683554847217995,0.8512454596515027
8.0,0.43224362173184466,0.5535259731827686,0.6184950540186491,0.8321460015866613,0.7848038245565631
9.0,0.4725872436642866,0.6224268716815718,0.7429601175092103,0.7446349748816512,0.7360860502536686
10.0,0.4622618393677557,0.594165566430016,0.6531669600238992,0.7597820907620785,0.7423702776824437
11.0,0.49960053106874985,0.627339291711952,0.748297155829628,0.7393049857997754,0.7654245734788967
12.0,0.5530708216961748,0.6342819223340713,0.7693614382526175,0.7672451199630044,0.7629691705172204
13.0,0.5159266064740627,0.58623514383743,0.6145388534688142,0.6961017880959736,0.6946058579673822
14.0,0.4887935474490424,0.6742275590827539,0.5716743069039132,0.8011876576643726,0.8826796879897685
15.0,0.4958681367428833,0.6421335938108571,0.6671414232383033,0.789742887264393,0.7879571753186668
16.0,0.5001044199334588,0.5846344129690435,0.6804431774746845,0.7645715444437657,0.7323257188577459
17.0,0.35499252047008933,0.5478280591895224,0.5675201789118833,0.7623191248163671,0.770883843310653
18.0,0.5710650282007592,0.5501156833449496,0.6799696129028764,0.7516462982667835,0.8058230685484076
19.0,0.5406023940659166,0.5694166271518124,0.7758904080827962,0.6704692607336687,0.7972635639330193
20.0,0.5272739642615678,0.6029454233897573,0.6848500394351548,0.743731381747682,0.7692443579972388
21.0,0.4803866114644072,0.6789046592757626,0.6838745614855081,0.7087505187160418,0.8504385428798085
22.0,0.48299797838530145,0.667264606018183,0.684337244873555,0.7734590989895842,0.7370677064912855
23.0,0.48777305899867707,0.5873508335957699,0.7235058705316864,0.74133692254224,0.7657444694332779
24.0,0.5384062687714436,0.6600054060373446,0.6485356910511132,0.7160913486913811,0.7386205993380288
25.0,0.4545784420734431,0.5798364657946993,0.7004363123735017,0.6931780297019827,0.8413846959689325
26.0,0.5978054711052918,0.7219422955943531,0.6623041671304729,0.7704426088807146,0.7182901785456484
27.0,0.5171611334578792,0.5619447688729661,0.6338283515594045,0.7085889063370151,0.7278390116155746
28.0,0.5208500692712392,0.4958918878347844,0.6529414609570703,0.7489152100184316,0.8157220735558796
29.0,0.5823577739109916,0.6028325907078048,0.755391527653513,0.7749963843091464,0.7115782009595144
30.0,0.5076721310046858,0.504906897032776,0.7100169755340687,0.7636984404821026,0.86658805698733
31.0,0.584605260926707,0.5825446836144168,0.68065556327959,0.6215234212672264,0.8574713577254736
32.0,0.47793259433631297,0.6528830132051172,0.7084523966682176,0.7391224336249227,0.7840362561114677
33.0,0.5121522447463283,0.6074429754533385,0.6293948987697571,0.7373725233500096,0.836948167320493
34.0,0.502296304039766,0.5498935533097896,0.5994213334078654,0.8320671535517248,0.7514359874896724
35.0,0.48564542145478296,0.5597876249379093,0.7071842785645279,0.8001518073067214,0.8451263673716796
36.0,0.4892611833138851,0.6923666259789895,0.7199343923175546,0.6768633627915404,0.7622702230352556
37.0,0.4831280766064742,0.592006334893374,0.669080602063889,0.7498137652256711,0.7362161826309783
38.0,0.4095782411364236,0.7118496326094396,0.7602562042708709,0.8355734511071535,0.846507341751389
39.0,0.5690766341874236,0.5252488601416495,0.6419748904510757,0.7221567076976488,0.879181644766113
40.0,0.42789574667783015,0.5789217129697005,0.6198499759306967,0.724935306004482,0.8363562996975656
41.0,0.5185650311305231,0.5550560260994847,0.6272753960359752,0.685183162795311,0.8072932804606526
42.0,0.466106705547111,0.5920729278206336,0.671157466294294,0.7016185926104024,0.7429953982251996
43.0,0.47120641124105644,0.5159112778217755,0.6511805566799147,0.7457428771396968,0.8190935889470358
44.0,0.49111476391687753,0.6083251702195819,0.718791694029681,0.7355799164942894,0.6488751076777196
45.0,0.5432889122101482,0.6720453106902555,0.6830776117235007,0.7295017187494071,0.7363146799052748
46.0,0.552715813153487,0.5449126831799681,0.6517505518988835,0.786058726088626,0.7375910419177344
47.0,0.4437713815184032,0.6097230762246568,0.680705320729736,0.7314930675779412,0.8003432449955932
48.0,0.47190878977578754,0.6445753219043296,0.6668872530130506,0.7942719952605275,0.7977453823512449
49.0,0.42628378043594706,0.5715806795098983,0.6920367755652718,0.7005384298102508,0.8058349480412887
50.0,0.5076446957055732,0.57995053521672,0.6861441225063547,0.6986608428819805,0.7346422471287627
51.0,0.48789945106299265,0.6452423182308088,0.677666390505482,0.7462149592618141,0.6668136237488187
52.0,0.5181341330385222,0.6005689338491662,0.6904075110609543,0.7179715081511969,0.782352381062114
53.0,0.44479889556325547,0.6370581243692085,0.674129297124866,0.7920768681204161,0.7840279650848323
54.0,0.4954473468746432,0.5868348247009437,0.7047606726587169,0.650479525143557,0.757708867802743
55.0,0.603851330006411,0.6306783889974966,0.6578926951133464,0.6826156446590712,0.7120976765322129
56.0,0.4859392405035056,0.6274601041810486,0.7694093492061065,0.7448197614698091,0.7530868533578811
57.0,0.48818685328437555,0.4454810381494525,0.570545490249281,0.7739164143336508,0.792931190074262
58.0,0.4236157738445418,0.6889089300095964,0.6953474379643219,0.8003404760039124,0.7136272837813215
59.0,0.4651069238238589,0.5855546155552257,0.721735868028787,0.7077591531892238,0.8306495131078715
60.0,0.4629020280292691,0.5242550418872468,0.6040392570904838,0.7788486524208738,0.7918077933137506
61.0,0.5120744025968053,0.624809212080171,0.7071899507723124,0.76450578756912,0.8005342736239439
62.0,0.5826597455874715,0.5449898726632599,0.6755096860898787,0.7976796658603442,0.8291841755040648
63.0,0.3858370315504475,0.6019417840245711,0.5877132814311927,0.7500711280069624,0.7640293085632055
64.0,0.516855084736423,0.6516379960290115,0.6934833002722964,0.7045591753315013,0.7400206736726449
65.0,0.49772346673628826,0.595962983625018,0.6334354298948106,0.7171844487826107,0.8014335225943975
66.0,0.5249802409022941,0.5535892049824535,0.6750761252625826,0.7574865962381439,0.7892036898882189
67.0,0.404034756835817,0.558035304757079,0.6822356694811393,0.7797146457358044,0.8286180537242398
68.0,0.5934682133703564,0.5305524961878422,0.6195591715091935,0.7779980616074749,0.7084225940986515
